H	L	meanH	varH	pvalNorm	pvalSim	dataset	gwas	contrasts	nsnp
0.003789925154536	113925	9.52072101784297e-06	3.56553662865483e-14	0	0	HGDP1KG	e200	eurasia-lat	pruneall
0.00314700511267911	113925	9.51899136809747e-06	3.64747747211067e-14	0	0	HGDP1KG	e200	eurasia-long	pruneall
0.000275130063421207	137497	9.94264761191209e-06	4.36252844670216e-14	0	0	HGDP1KG	e200	eur-lat	pruneall
0.000644657274542203	137497	1.33020646892959e-05	1.86811305539675e-13	0	0	HGDP1KG	e200	eur-long	pruneall
4.98257356324309e-05	140761	7.01703951799342e-06	1.24106748638883e-14	0	0	HGDP1KG	e200	sdi-eur	pruneall
0.00361628170530291	110766	1.05723043275085e-05	4.76163583715585e-14	0	0	HGDP1KG	e200	eas-nfe	pruneall
0.00171524539681565	110766	1.0790847245909e-05	4.46981836840855e-14	0	0	HGDP1KG	e200	eas-sas	pruneall
0.0048198073102676	110766	1.03626159981935e-05	4.86755554976949e-14	0	0	HGDP1KG	e200	eas-afr	pruneall
0.00195529877551699	110766	1.07259203825714e-05	4.4782497824338e-14	0	0	HGDP1KG	e200	eas-amr	pruneall
0.00374991724246996	110766	9.71413663383204e-06	2.90336047629345e-14	0	0	HGDP1KG	e200	nfe-sas	pruneall
0.00973095731463136	110766	1.01713178480046e-05	5.02184285325611e-14	0	0	HGDP1KG	e200	nfe-afr	pruneall
0.00236111490277367	110766	1.0526883718673e-05	4.55266168836282e-14	0	0	HGDP1KG	e200	nfe-amr	pruneall
0.00759438440682578	110766	1.02291040205547e-05	5.08697304719885e-14	0	0	HGDP1KG	e200	sas-afr	pruneall
0.000441974025309416	110766	1.0602609180947e-05	3.61829796893824e-14	0	0	HGDP1KG	e200	sas-amr	pruneall
0.00740525511475954	110766	1.02815896924118e-05	4.78116194542349e-14	0	0	HGDP1KG	e200	afr-amr	pruneall
0.00392791589305605	113970	9.48586132296483e-06	2.57678436996773e-14	0	0	HGDP1KG	ALL	eurasia-lat	pruneall
0.00332676138345346	113970	9.46892610459427e-06	2.79306554681684e-14	0	0	HGDP1KG	ALL	eurasia-long	pruneall
0.000276363054104903	137565	9.92041307610421e-06	4.33404001089977e-14	0	0	HGDP1KG	ALL	eur-lat	pruneall
0.000672767271412155	137565	1.32259677898197e-05	1.47276187176173e-13	0	0	HGDP1KG	ALL	eur-long	pruneall
5.00315142824922e-05	140845	7.01693789503526e-06	1.23944953290485e-14	0	0	HGDP1KG	ALL	sdi-eur	pruneall
0.00381926849076601	110816	1.05385458449188e-05	3.97161044718053e-14	0	0	HGDP1KG	ALL	eas-nfe	pruneall
0.0018601541111114	110816	1.0759884812943e-05	3.80757512478299e-14	0	0	HGDP1KG	ALL	eas-sas	pruneall
0.00484429987533723	110816	1.03465717611846e-05	3.75758652522457e-14	0	0	HGDP1KG	ALL	eas-afr	pruneall
0.00210035424401851	110816	1.07121097982922e-05	3.81556895372038e-14	0	0	HGDP1KG	ALL	eas-amr	pruneall
0.00385587051586193	110816	9.69664730192539e-06	3.23257184370382e-14	0	0	HGDP1KG	ALL	nfe-sas	pruneall
0.0097148342445086	110816	1.0147253521267e-05	3.69079628566564e-14	0	0	HGDP1KG	ALL	nfe-afr	pruneall
0.00242759632374293	110816	1.04965090518776e-05	3.90971548346031e-14	0	0	HGDP1KG	ALL	nfe-amr	pruneall
0.00756086712673524	110816	1.02112977667782e-05	3.89164943106122e-14	0	0	HGDP1KG	ALL	sas-afr	pruneall
0.000446292644129187	110816	1.05959623846165e-05	4.05714303598771e-14	0	0	HGDP1KG	ALL	sas-amr	pruneall
0.0073747708692376	110816	1.02653580079185e-05	3.99431484769208e-14	0	0	HGDP1KG	ALL	afr-amr	pruneall
1.20297468262348e-05	112621	1.04169470458192e-05	6.47320074328444e-15	1.10063654326385e-89	0	HGDP1KG	WBS	eurasia-lat	pruneall
1.15429860637653e-05	112621	1.03146593548972e-05	6.47516290903121e-15	6.57058047034605e-53	0	HGDP1KG	WBS	eurasia-long	pruneall
1.30480970545097e-05	136402	1.09921762385875e-05	2.72843128977807e-14	7.29877203224095e-36	0	HGDP1KG	WBS	eur-lat	pruneall
9.55444040926524e-06	136402	1.48080058560456e-05	1.3934700300528e-13	1	1	HGDP1KG	WBS	eur-long	pruneall
1.24006652817234e-05	139663	7.08460339893489e-06	1.97763068716385e-15	0	0	HGDP1KG	WBS	sdi-eur	pruneall
1.19923877113626e-05	109180	1.12540972112014e-05	1.05813457030639e-14	3.55691306459647e-13	0	HGDP1KG	WBS	eas-nfe	pruneall
1.1113153843452e-05	109180	1.14189725251151e-05	1.14499642206432e-14	0.997868385777379	0.999	HGDP1KG	WBS	eas-sas	pruneall
1.12052614692088e-05	109180	1.14618745056535e-05	7.66734217454169e-15	0.998308450295229	0.998	HGDP1KG	WBS	eas-afr	pruneall
1.12476873706721e-05	109180	1.13085373583972e-05	9.95316552230068e-15	0.729045857956755	0.715	HGDP1KG	WBS	eas-amr	pruneall
1.3378700172823e-05	109180	1.03338830949765e-05	5.958452408467e-15	0	0	HGDP1KG	WBS	nfe-sas	pruneall
1.22500927395737e-05	109180	1.16694123324129e-05	9.1870293134784e-15	6.87907064919844e-10	0	HGDP1KG	WBS	nfe-afr	pruneall
1.21945544050315e-05	109180	1.11451227246083e-05	1.14563695651147e-14	5.37767624832853e-23	0	HGDP1KG	WBS	nfe-amr	pruneall
1.16767107832033e-05	109180	1.16137379321284e-05	9.05737753885881e-15	0.254086153991813	0.269	HGDP1KG	WBS	sas-afr	pruneall
1.1357453782384e-05	109180	1.11092030399415e-05	7.85202995299193e-15	0.00254282674167998	0.006	HGDP1KG	WBS	sas-amr	pruneall
1.2022629869392e-05	109180	1.16003059284937e-05	8.03343654442749e-15	1.22715747347311e-06	0	HGDP1KG	WBS	afr-amr	pruneall
